id f3 f4 f5 f6 mu muplus
0 9946277 53548 175 0 3.0053898 4.00325745025408
1 9947350 52368 282 0 3.0052932 4.00535612535613
2 9953311 46560 129 0 3.0046818 4.00276296343893
3 9951151 48684 165 0 3.0049014 4.00337775594178
4 9927053 72557 387 3 3.007334 4.00538747309691
5 9922712 77024 264 0 3.0077552 4.00341579546631
6 9929712 69919 369 0 3.0070657 4.00524982927384
7 9943878 55912 210 0 3.0056332 4.0037418481166
8 9867240 131499 1252 9 3.013403 4.00956613437782
9 9947560 52185 254 1 3.0052696 4.00488176964149
10 9951382 48471 146 1 3.0048766 4.00304414003044
11 9945574 54288 137 1 3.0054565 4.00255392643222
12 9945782 53959 258 1 3.0054478 4.00479545538382
13 9932647 67040 313 0 3.0067666 4.0046471575134
14 9965899 34017 83 1 3.0034186 4.00249259552506
15 9935117 64816 67 0 3.006495 4.0010326279611
16 9949542 50411 47 0 3.0050505 4.00093146775536
17 9962023 37926 50 1 3.0038029 4.00136924980909
18 9967804 32087 108 1 3.0032306 4.00341657348739
19 9970478 29452 70 0 3.0029592 4.00237111306822
20 9962559 37368 73 0 3.0037514 4.00194973424855
21 9953846 46096 58 0 3.0046212 4.00125666247779
22 9963781 36168 51 0 3.003627 4.00140810072062
23 9954886 44994 120 0 3.0045234 4.00265992818194
24 9965263 34623 114 0 3.0034851 4.00328180326453
25 9974537 25405 58 0 3.0025521 4.00227781486863
26 9971379 28525 96 0 3.0028717 4.00335418049684
27 9958339 41510 150 1 3.0041813 4.00364849619548
28 9961795 38049 156 0 3.0038361 4.00408323517864
29 9966958 32964 77 1 3.0033121 4.00239089643484
30 9943861 56008 131 0 3.005627 4.00233349364969
31 9925664 74138 198 0 3.0074534 4.00266358157555
32 9945314 54589 96 1 3.0054784 4.00179204915335
33 9923680 76073 247 0 3.0076567 4.00323637316562
34 9977558 22389 53 0 3.0022495 4.0023616433473
35 9970325 29561 114 0 3.0029789 4.00384161752317
36 9978171 21785 44 0 3.0021873 4.00201566723166
37 9970105 29845 50 0 3.0029945 4.00167252048838
38 9941043 58882 75 0 3.0059032 4.0012721135743
39 9957739 42219 42 0 3.0042303 4.00099382409314
40 9960823 39105 71 1 3.003925 4.00186333818312
41 9935592 64004 401 3 3.0064815 4.00631909079617
42 9965827 34019 152 2 3.0034329 4.00456500746203
43 9963947 36008 45 0 3.0036098 4.00124816242754
44 9958289 41657 54 0 3.0041765 4.00129462252164
45 9962624 37302 73 1 3.0037451 4.00200663527397
46 9958546 41355 99 0 3.0041553 4.00238818931828
47 9966699 33256 45 0 3.0033346 4.00135131077145
48 9970608 29347 45 0 3.0029437 4.00153102885139
49 9966707 33229 64 0 3.0033357 4.00192232601448
50 9968939 31004 57 0 3.0031118 4.0018350986768
51 9937604 62340 55 1 3.0062453 4.00091352009744
52 9953661 46276 62 1 3.0046403 4.00138112604933
53 9962214 37736 50 0 3.0037836 4.00132324141216
54 9967129 32765 106 0 3.0032977 4.00322472696298
55 9969508 30409 83 0 3.0030575 4.0027220254493
56 9969286 30604 109 1 3.0030825 4.00361398710686
57 9945710 54150 139 1 3.0054431 4.00259716338184
58 9956044 43871 85 0 3.0044041 4.00193375193375
59 9916303 83359 338 0 3.0084035 4.00403837652485
